Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Thread Group:Send OTP SMS,5000,15496,313,21086,8600.84,67.880%,41.31617,75.13,3.68,1862.0
TOTAL,5000,15496,313,21086,8600.84,67.880%,41.31617,75.13,3.68,1862.0
